SKU_GROUP,RETRUN_PCT,SIZE_TOO_BIG,SIZE_TOO_SMALL,XS_RETURN,XS_TOO_BIG,XS_TOO_SMALL,S_TOO_BIG,S_TOO_SMALL,M_TOO_BIG,M_TOO_SMALL,L_TOO_BIG,L_TOO_SMALL,XL_TOO_BIG,XL_TOO_SMALL,XXL_TOO_BIG,XXL_TOO_SMALL,XL3_TOO_BIG,XL3_TOO_SMALL,XL4_TOO_BIG,XL4_TOO_SMALL,XL5_TOO_BIG,XL5_TOO_SMALL,XL6_TOO_BIG,XL6_TOO_SMALL,XL7_TOO_BIG,XL7_TOO_SMALL,XL8_TOO_BIG,XL8_TOO_SMALL,CATEGORY,L1_CATEGORY,VENDOR,IMAGE_URL,ONLINE_INVENTORY,TOTAL_INVENTORY
4MSD3958-01,20,17,20,,,,13,16,25,20,14,20,10,25,,,,,,,,,,,,,,,Jeans,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSD3958-01_1_147b9060-809f-4e65-bac9-dd9492a5ce88.jpg?v=1744224852,5,41
4MSD3911-01,19,28,16,25,21,15,25,9,33,11,28,20,27,27,,,,,,,,,,,,,,,Jeans,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSD3911-01_1_818698e7-a852-4981-bc7c-245d4e414e99.jpg?v=1745086088,185,320
4MSD4211-01,38,39,4,,,,48,3,38,3,32,3,46,4,29,14,,,,,,,,,,,,,Jeans,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/1_ecc5f571-5aa6-4de2-828a-a93605c1a727.jpg?v=1771349717,97,352
4MSD4206-02,22,36,6,,,,37,,44,7,42,2,17,13,13,17,,,,,,,,,,,,,Jeans,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/1_bf3afe64-357d-4a87-9e4d-b97b012c4395.jpg?v=1767031293,9,128
4MSR5171-02,20,14,20,,,,15,17,13,17,15,19,12,21,12,41,,,,,,,,,,,,,Trousers,snitch,India-Vintage,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/dfa8f121b24d5c0b20d1ca85c74e5720.jpg?v=1727500136,10,37
4MSD4116-01,27,44,7,,,,41,7,47,4,45,9,31,16,,,,,,,,,,,,,,,Jeans,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4msd4116-01_1.jpg?v=1757352541,4,9
4MSD3958-02,21,22,24,,,,11,9,25,25,26,28,22,33,,,,,,,,,,,,,,,Jeans,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSD3958-02_1_ad3a0b38-8984-4b58-8d61-e86f8e0c963f.jpg?v=1744224864,152,231
4MBGSS1067-03,19,4,60,,,,,,,,,,,,,,2,53,3,61,13,53,,79,,,,,Shirts,plus,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MBGSS1067-03_1_be62d5ef-a583-42f9-b1a9-355c625fd1c9.jpg?v=1740742080,5,5
4MST2418-02,14,17,6,22,16,16,19,5,20,3,15,5,15,8,16,8,,,,,,,,,,,,,T-Shirts,snitch,India-Asian Clothing,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MST2418-02-M25.jpg?v=1729243542,112,382
4MSR5171-01,19,9,18,,,,10,21,8,16,13,18,6,17,7,30,,,,,,,,,,,,,Trousers,snitch,India-Vintage,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/120b843314b58dd9eb929ad3b0607d71.jpg?v=1726808763,1,1
4MSS3430-06,16,24,24,20,,33,4,48,4,46,20,10,60,,50,5,,,,,,,,,,,,,Shirts,snitch,India-Lohith Creations,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/750b1dff5f06d2f43abc52c890d22217.jpg?v=1728985317,1,1
4MSR5172-01,16,20,14,,,,29,18,17,11,19,14,20,13,22,22,,,,,,,,,,,,,Trousers,snitch,India-Vintage,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/8ebb7367053b99e9b66309f6af5b5567.jpg?v=1729520070,0,1
4MSD3529-03,18,27,15,,,,26,18,28,13,28,15,26,13,25,17,,,,,,,,,,,,,Jeans,snitch,,https://cdn.shopify.com/s/files/1/0420/7073/7058/products/Snitch_July22_3806.jpg?v=1658726460,122,129
4TR022-05,19,28,9,14,59,6,33,10,21,9,20,9,29,10,,,,,,,,,,,,,,,Trousers,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4tr022-05_1.jpg?v=1773338210,537,934
4MBGSD1003-02,17,70,2,,,,,,,,,,,,44,11,55,5,71,3,65,3,76,,73,,76,3,Jeans,plus,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/1_6a526eb6-2787-4890-a3f1-78d14123e676.jpg?v=1751540623,13,13
4MLX1012-03,16,10,29,28,,68,4,39,,19,20,17,11,11,38,23,,,,,,,,,,,,,Shirts,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MLX1012-03_1_adef7312-14d7-43d5-9dc7-670b53b32c61.jpg?v=1744880064,38,40
4MBGSS1091-06,20,54,17,,,,,,,,,,,,,,55,20,50,23,61,6,46,23,,,,,,snitch,,,,
4MSD3946-05,23,34,7,,,,35,4,37,4,31,8,21,15,44,15,,,,,,,,,,,,,Jeans,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSD3946-05_1_b865c4a4-0e25-4edb-92d0-4ee0e589c84c.jpg?v=1741093913,6,51
4MSS4046-03,24,39,7,27,37,15,18,13,39,6,42,3,46,13,39,9,,,,,,,,,,,,,Shirts,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSS4046-03_1_4a7e1279-fe1d-4629-ab7c-f76f61818669.jpg?v=1748024804,18,35
4MSS4091-04,15,43,4,8,50,,22,,38,6,33,11,50,5,63,,,,,,,,,,,,,,Shirts,snitch,Snitch Apparels Pvt. Ltd.,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/4MSS4091-04_1_f8ce48fd-bcfb-4faa-ae40-850c307ab892.jpg?v=1745473122,0,0
4MSD3763-01,18,25,8,,,,30,6,26,6,15,7,22,10,19,35,,,,,,,,,,,,,Jeans,snitch,India-Navkar,https://cdn.shopify.com/s/files/1/0420/7073/7058/files/c8b519b21420ed22f5b046b9ac4437f6.webp?v=1772603593,425,826
